# SFH state properties. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; E; δn_M^2; S [calculated 2025-06-01T17:57:40.442]
30; 2.1379310344827585; -15.249189689988999; [0.23222222220093855, 0.23469491574186646, 0.24354879445870722, 0.2714648852053027, 0.261322892620688, 0.26516479134741266, 0.2691844562999016, 0.25659293360999696, 0.25717528815105956, 0.2507800052284215, 0.23800685458058554, 0.23551954284220672, 0.22276927323596996, 0.21074406992711758, 0.20479766341730016, 0.18767362203912893]; [0.6571574825302454, 0.9180506443963297, 1.0624866872498668, 1.1586693227192773, 1.2293732141510259, 1.2841988304939518, 1.3278922490352925, 1.3631547298684088, 1.3916564344656424, 1.414482797295134, 1.4323767724652567, 1.4458512747915995, 1.4552522415999072, 1.460807871740257, 1.4626465544724176, 1.46080770967037, 1.455251973506112, 1.4458508786263422, 1.432376251202962, 1.4144821674984618, 1.3916556454714735, 1.3631539141080646, 1.3278912865905008, 1.2841977133113083, 1.2293723352398374, 1.1586685876441367, 1.0624858930394787, 0.918050148983433, 0.6571574951662387]
30; 2.3448275862068964; -15.108623907320023; [0.23222222221018798, 0.23156475889766923, 0.2397625873099944, 0.26862169930643914, 0.25705541393913006, 0.2611488139864644, 0.26558357470173494, 0.2521103044296807, 0.2533307783191139, 0.24697381716399, 0.23375173695760534, 0.23204089355186677, 0.21905877213005265, 0.20700608937533535, 0.20180382383980427, 0.18428677342052777]; [0.6571574898466592, 0.9191280483091766, 1.064043664018371, 1.1604276818179389, 1.2312235502612277, 1.2861025178566492, 1.3298262171113806, 1.3651073299784415, 1.3936230239410137, 1.4164584787803811, 1.434358571638353, 1.4478380021455428, 1.457241665251315, 1.4627988716432565, 1.4646384180243197, 1.4627986836190494, 1.4572413689196, 1.4478375791219218, 1.4343580551295825, 1.4164578974583601, 1.3936222989278173, 1.3651065654475656, 1.3298253440707437, 1.2861014934437294, 1.2312226852889288, 1.1604269744358346, 1.0640428848738948, 0.9191275610381127, 0.6571575013173561]
30; 2.5517241379310347; -14.977380637201337; [0.23222222220041971, 0.22868377654345193, 0.23628651966277445, 0.2660751739704813, 0.25314378227769246, 0.25749444722013803, 0.26234172360687374, 0.24800399300876677, 0.24985438120218026, 0.2435313566708869, 0.22985863435416856, 0.2289103501720321, 0.2156866555901395, 0.20359408019314887, 0.19911787539917736, 0.18119335421064614]; [0.657157495273643, 0.9201930529129663, 1.0655995371314526, 1.1621909476107757, 1.2330813955801998, 1.2880157565070631, 1.3317706414435406, 1.3670707524497299, 1.3956009723980505, 1.4184457888764224, 1.4363521103888575, 1.4498366609342457, 1.4592430660450184, 1.4648018685029367, 1.4666423684122176, 1.4648017183155582, 1.4592427866059396, 1.4498362428613545, 1.436351578847802, 1.418445186222281, 1.3956002462888502, 1.3670699991908817, 1.3317698406274052, 1.2880148486992458, 1.2330806226888895, 1.1621902994324524, 1.0655988177420546, 0.9201925907708924, 0.6571575081892289]
30; 2.7586206896551726; -14.854716842881565; [0.2322222221864356, 0.22603259597343037, 0.23309176950116015, 0.26379069758852863, 0.24955515099597747, 0.2541641176558552, 0.2594187744713718, 0.24423823367490818, 0.24670561976045555, 0.24041301028712908, 0.2262918840335824, 0.22608819583559941, 0.21261769714422354, 0.2004755054637317, 0.1967042413424352, 0.17836427259844265]; [0.657157499495556, 0.9212409439633584, 1.0671463449727572, 1.163949240496845, 1.2349359355104892, 1.2899270795264477, 1.3337135928714616, 1.3690328122915827, 1.397577851476245, 1.4204320688575918, 1.4383446298781282, 1.4518344408052477, 1.4612435780226698, 1.466803986388423, 1.4686454967676354, 1.4668038493499727, 1.4612433000603038, 1.451834038723209, 1.4383441282174536, 1.4204315095755145, 1.3975771959652985, 1.3690321302983077, 1.3337129223657838, 1.2899263229915572, 1.2349352671764782, 1.163948653914987, 1.0671456882419044, 0.9212405289670551, 0.6571575096557776]
30; 2.9655172413793105; -14.739948155564118; [0.2322222221920801, 0.22359280930288533, 0.23015222044435502, 0.26173780732652613, 0.24625969064050166, 0.25112443246584126, 0.256778874852087, 0.24078036938920241, 0.24384886080210647, 0.23758381500341025, 0.2230197230923683, 0.2235397534517011, 0.20982010974799695, 0.19762065522922603, 0.19453144316501886, 0.17577289025754972]; [0.6571574932874533, 0.9222683270112734, 1.0686777259372584, 1.165694503205855, 1.2367782051821725, 1.2918270224366115, 1.3356453320235357, 1.3709835166984168, 1.3995435400321923, 1.4224071111085392, 1.440325866266737, 1.4538210318538394, 1.4632329060428706, 1.4687949478049047, 1.4706375068303545, 1.4687948201337067, 1.4632326532536555, 1.4538206424606912, 1.440325380302906, 1.4224065515378597, 1.3995428491810953, 1.370982808059885, 1.3356446156132784, 1.291826220054861, 1.2367775014230347, 1.165693919853962, 1.0686770868500224, 0.9222679190627964, 0.6571575052901851]
30; 3.1724137931034484; -14.632445805056557; [0.23222222220855962, 0.22134706867591938, 0.22744425898753595, 0.25988976698614946, 0.24323034242419753, 0.24834551864896515, 0.25439068403917203, 0.23760141921654376, 0.24125228159121756, 0.23501261266687978, 0.22001367242560918, 0.22123415244126388, 0.20726596686878787, 0.19500360834390149, 0.1925719738702116, 0.17339600445009734]; [0.6571574882624469, 0.9232728372094211, 1.0701886831219314, 1.167420179320976, 1.238601017770497, 1.2937081351226425, 1.3375582875703524, 1.3729151825426196, 1.4014902681204682, 1.4243631577206677, 1.4422879740773988, 1.4557885009787008, 1.4652029462007183, 1.47076653170867, 1.4726102155050376, 1.4707663827621444, 1.465202657860031, 1.4557880684228302, 1.442287421001747, 1.4243625260430315, 1.401489529889898, 1.3729144187598066, 1.3375574782851452, 1.2937072579484712, 1.2386002294963918, 1.1674195842860475, 1.0701880896944869, 0.9232724321449324, 0.6571575088020802]
30; 3.3793103448275863; -14.531632434458347; [0.23222190220483938, 0.2192798584216368, 0.22494695682773666, 0.2582237440214034, 0.24044425921889154, 0.24580244571712162, 0.252228497307661, 0.23467828995250398, 0.2388913628901516, 0.23267631431443606, 0.21725364936583363, 0.21915014165120988, 0.2049371539003895, 0.1926086821002387, 0.19080998691773896, 0.17122249466157088]; [0.6571555299690017, 0.9242455522701921, 1.0716631167181225, 1.1691120944220947, 1.2403839870636348, 1.2955454513010949, 1.3394317003199872, 1.3748027218111925, 1.403388997797928, 1.4262762994213611, 1.4442028714045272, 1.457705204108612, 1.4671283628410152, 1.4726896794104076, 1.4745311908780476, 1.4726931527133234, 1.4671246848824993, 1.4577046114587207, 1.444206182354321, 1.4262726167859585, 1.4033878423438448, 1.3748057347765834, 1.339428144287799, 1.2955443584193878, 1.240387693788383, 1.1691088135279062, 1.0716620148551899, 0.9242489073298518, 0.6571518613028589]
30; 3.586206896551724; -14.451107071460397; [0.22164229783136233, 0.2293889639528943, 0.2265853661551471, 0.2597292651349231, 0.2580835436818548, 0.25462956951885085, 0.26669902784162836, 0.26217098970404307, 0.25797828143181056, 0.26216082978415106, 0.25645800125680807, 0.2511818337268413, 0.2512084584640094, 0.24500710824674568, 0.2381070612196244, 0.23560795672720314]; [0.6015096273905219, 0.8320005871945306, 0.8269882213682593, 1.0401980449000523, 1.09973315726, 1.003472032739833, 1.1668805405387728, 1.1947183000336783, 1.0766894610983686, 1.2232913477674008, 1.2383599526403972, 1.1102943771750353, 1.2477398361668124, 1.2550759752009886, 1.1203178817853456, 1.2511641296439135, 1.2520454709374833, 1.1107644858480565, 1.2348951136318291, 1.2279309932717188, 1.0776676622426973, 1.1917428818773066, 1.1715384656781398, 1.0046737224218383, 1.0968493766051157, 1.0442263291422882, 0.8275188444079823, 0.8279844186325332, 0.6045313509679429]
30; 3.793103448275862; -14.397274423244317; [0.21835410025020405, 0.22893696324492685, 0.2238177448531697, 0.2550813155900716, 0.2546757130651766, 0.2480482205904055, 0.2583836797475797, 0.25352812937274516, 0.245413550251905, 0.2480096059210664, 0.24043388478437178, 0.23072471708720912, 0.2292637588287096, 0.21968795812071215, 0.20811785666664356, 0.2041416982252031]; [0.6236982106564471, 0.7932708799286613, 0.809988948975644, 1.0796380223531736, 1.0778256014481427, 0.9973104952039904, 1.216017884529662, 1.181766104602704, 1.077618433219615, 1.278995719653347, 1.2310487858659478, 1.1153599965110605, 1.3068957953923652, 1.250289870772927, 1.126647353158499, 1.3106143110908037, 1.2465198046885486, 1.115360479847512, 1.2914022987969898, 1.2184799639739667, 1.077619267969224, 1.2422382736164177, 1.1552751937242824, 0.9973121521588207, 1.138435863157597, 1.018485790460806, 0.8099883465451806, 0.8588194433038409, 0.5806606778644728]
30; 4.0; -14.343712275886226; [0.2182241189922106, 0.22742383098603117, 0.22199716406073994, 0.25323805295833085, 0.25196877008262264, 0.2454215267494565, 0.2554626815521967, 0.2498231864373266, 0.24197030924525578, 0.2441506435135908, 0.2358206669299904, 0.22646805385199825, 0.2245421769409315, 0.21424182909104775, 0.20307336764149722, 0.19862896473684158]; [0.6452088981171185, 0.7704307365360178, 0.844570194275989, 1.117216394278026, 1.0569072943007285, 1.031874048999404, 1.2534676857212215, 1.1607053892938866, 1.1120280350916614, 1.316255767412647, 1.2098843580698668, 1.149633214622577, 1.3440243470824491, 1.2290667452115243, 1.1608718037589274, 1.3477031570073774, 1.2252832926712958, 1.1496336147330173, 1.328544043551286, 1.1972688625713295, 1.1120292934882996, 1.2795246496693435, 1.134114224685423, 1.0318766257789835, 1.1758471151620753, 0.9972776749276191, 0.8445707918910443, 0.8984146795556489, 0.5625297298131355]
# [finished at 2025-06-01T18:49:41.754]
