# Fermi-Hubbard model DMRG. L=26, N=13
# V; μ; E; k; D; ρ [calculated 2025-05-29T19:26:34.178]
-2.877551020408163; 1.836734693877551; -116.97955756273643; 3.6415042018826167e-8; 1.8222408040902218; 0.9615384613322355
-2.877551020408163; 1.8979591836734695; -118.50990818343435; -3.426536214027698e-8; -102.89195563884383; 0.9615384592343562
-2.877551020408163; 1.9591836734693877; -120.04075413293123; 3.141556951617264e-8; 198.63171007854947; 0.9615384611577584
-2.877551020408163; 2.020408163265306; -121.57140247108919; 3.978811354462181e-9; 0.21902340222169897; 0.9615384614013591
-2.877551020408163; 2.0816326530612246; -123.10198823217557; -7.687005291560412e-9; 6.258895058994679; 0.9615384609307261
-2.877551020408163; 2.142857142857143; -124.63261232120554; 6.5151313233258344e-9; 3.530667798628438; 0.9615384613296117
-2.877551020408163; 2.204081632653061; -126.16277980359136; -3.472086655224406e-8; -126.03415146445842; 0.9615384592038444
-2.877551020408163; 2.2653061224489797; -127.69385060398984; 3.603426453520799e-8; 14.398383341977803; 0.9615384614100239
-2.877551020408163; 2.326530612244898; -129.2244597657483; -2.24942398041606e-10; 5.944231286806966; 0.9615384613962519
-2.877551020408163; 2.3877551020408165; -130.75505562914603; -1.2305852633194962e-9; 78.39483063615117; 0.9615384613209099
-2.877551020408163; 2.4489795918367347; -132.28566269603616; -7.997444188371618e-10; -1.8356520872775697; 0.961538461271946
-2.877551020408163; 2.510204081632653; -133.8163216969065; 3.9482670466384306e-9; 225.74895445812393; 0.9615384615136766
-2.877551020408163; 2.5714285714285716; -135.34693274010326; -2.9995402458145625e-10; 9.973618941262071; 0.9615384614953121
-2.877551020408163; 2.63265306122449; -136.87748327076304; -6.790862427941153e-9; 4.433441803682255; 0.961538461079545
-2.877551020408163; 2.693877551020408; -138.4081616095702; 7.326898347296662e-9; 19.04585841770138; 0.9615384615281306
-2.877551020408163; 2.7551020408163267; -139.93870620791185; -3.5639462492298265e-9; -13.904911787353235; 0.9615384613099298
-2.877551020408163; 2.816326530612245; -141.4693660678046; 2.314697840806925e-9; 4.271270773607913; 0.961538461451646
-2.877551020408163; 2.877551020408163; -142.99984858775662; -5.9370416731023245e-9; -45.78099902933448; 0.9615384610881537
-2.877551020408163; 2.938775510204082; -144.53014581183726; -4.2172411932976e-8; -104.15449073921275; 0.9615384585061693
-2.877551020408163; 3.0; -146.06020380027212; -9.267404136315017e-7; -288.0943015045768; 0.9615384017669603
-2.7551020408163267; 0.0; -68.12236012840603; NaN; -29.729376334015942; 0.9615384598829095
-2.7551020408163267; 0.061224489795918366; -69.65303515027995; 9.708985174716744e-7; -1.017698229162618; 0.9615384612097266
-2.7551020408163267; 0.12244897959183673; -71.1836639502803; 3.4811498498636224e-9; 3.080025390509732; 0.9615384614228583
-2.7551020408163267; 0.1836734693877551; -72.71427014708136; -1.4674233309956242e-9; 2.3996096935541154; 0.961538461333016
-2.7551020408163267; 0.24489795918367346; -74.24467943202824; -7.066658088324594e-8; -80.71577104656387; 0.9615384570064907
-2.7551020408163267; 0.30612244897959184; -75.77528485152297; 4.0114018625322e-8; -82.12680248775857; 0.961538459462451
-2.7551020408163267; 0.3673469387755102; -77.30610415743112; 2.685928142861134e-8; 83.0023189306398; 0.9615384611068968
-2.7551020408163267; 0.42857142857142855; -78.83647697196879; -4.486751551772512e-8; -18.256118160689017; 0.961538458359906
-2.7551020408163267; 0.4897959183673469; -80.36731266480295; 4.569579322340662e-8; -3.608800403165034; 0.9615384611576077
-2.7551020408163267; 0.5510204081632653; -81.89785400613427; -1.6380003427703602e-8; -30.635992219635217; 0.9615384601547503
-2.7551020408163267; 0.6122448979591837; -83.42854645205622; 1.726362501101399e-8; 69.87916526513239; 0.9615384612117069
-2.7551020408163267; 0.673469387755102; -84.9591572634753; -8.065481615915365e-10; 0.7340168542125382; 0.9615384611623264
-2.7551020408163267; 0.7346938775510204; -86.48933818878821; -7.922027637589452e-8; -181.40416539019918; 0.9615384563121054
-2.7551020408163267; 0.7959183673469388; -88.0203869883791; 8.14921443659245e-8; 220.3155927470675; 0.9615384613014204
-2.7551020408163267; 0.8571428571428571; -89.55064704474654; -7.477536693537943e-8; -51.21581740463823; 0.9615384567233367
-2.7551020408163267; 0.9183673469387755; -91.08161122034281; 7.378565810197312e-8; 102.02183463543646; 0.961538461240826
-2.7551020408163267; 0.9795918367346939; -92.61221397808762; 4.689904020693806e-10; 98.390648785542; 0.9615384612695397
-2.7551020408163267; 1.0408163265306123; -94.14251808693166; -3.691465107665451e-8; -25.10333465911526; 0.961538459009459
-2.7551020408163267; 1.1020408163265305; -95.67302509826823; -5.074852604813897e-8; -84.91350031624796; 0.9615384559024064
-2.7551020408163267; 1.163265306122449; -97.20405226249277; 8.78907180738389e-8; 52.57670972698023; 0.9615384612834708
-2.7551020408163267; 1.2244897959183674; -98.73447268790875; -1.8490824723234764e-8; -85.35087191086973; 0.9615384601513794
-2.7551020408163267; 1.2857142857142858; -100.26527635138235; 1.815689913235254e-8; 107.17907305690309; 0.9615384612630263
-2.7551020408163267; 1.346938775510204; -101.79589886353469; 1.0143433870624133e-9; 9.616456462671934; 0.961538461325129
-2.7551020408163267; 1.4081632653061225; -103.3265045697317; 8.432216406598996e-10; 2.9353296245109974; 0.9615384613767548
-2.7551020408163267; 1.469387755102041; -104.85712560863647; 6.529271937930988e-10; 1.260403551313482; 0.9615384614167299
-2.7551020408163267; 1.530612244897959; -106.38771330194973; -9.916640027659229e-9; -5.6463771103421; 0.9615384608095887
-2.7551020408163267; 1.5918367346938775; -107.91834319868842; 8.013006480567234e-9; 61.0795841611873; 0.961538461300181
-2.7551020408163267; 1.653061224489796; -109.44895586959125; 4.765720780971108e-10; 3.538510636474829; 0.9615384613293588
-2.7551020408163267; 1.7142857142857142; -110.97953803386459; -7.581313354876349e-9; -14.453938469018267; 0.9615384608651968
-2.7551020408163267; 1.7755102040816326; -112.51019365519616; 9.444120818713476e-9; 95.9300360125719; 0.9615384614434083
-2.7551020408163267; 1.836734693877551; -114.04080070591506; -1.5526568919455012e-10; 5.763726132774913; 0.9615384614339022
-2.7551020408163267; 1.8979591836734695; -115.57108660938904; -3.482707892447456e-8; -124.15566274375597; 0.9615384593016321
-2.7551020408163267; 1.9591836734693877; -117.10199540857315; 3.012104865529615e-8; 1.476430334517542; 0.9615384611457779
-2.7551020408163267; 2.020408163265306; -118.63264579335815; 4.397100091442981e-9; 12.616015221959206; 0.9615384614149881
-2.7551020408163267; 2.0816326530612246; -120.16323867470209; -4.03538831979705e-10; 2.469220739115718; 0.9615384613902817
-2.7551020408163267; 2.142857142857143; -121.69379383064955; -3.9161360450753195e-9; -25.4693312030011; 0.9615384611505182
-2.7551020408163267; 2.204081632653061; -123.22445701235102; 2.5435643591365027e-9; 7.390549563911449; 0.9615384613062467
-2.7551020408163267; 2.2653061224489797; -124.75505852539132; -1.0456638147952379e-9; -7.928557752683455; 0.9615384612422264
-2.7551020408163267; 2.326530612244898; -126.28470630802208; -1.4296201441184818e-7; 77.05347538832103; 0.96153845248945
-2.7551020408163267; 2.3877551020408165; -127.81612598715715; 1.342317316928755e-7; -74.61827154694922; 0.9615384607077193
-2.7551020408163267; 2.4489795918367347; -129.3466173758164; -5.028398745536116e-8; -118.95533185097567; 0.9615384576291078
-2.7551020408163267; 2.510204081632653; -130.8775056554778; 5.99845506229122e-8; 543.6247866097781; 0.9615384613016313
-2.7551020408163267; 2.5714285714285716; -132.4081302200396; -2.977108929750694e-10; 109.69446792382085; 0.9615384612834041
