# SFH Charge gaps. μ0=0.0, nsweeps=20, cutoff=[1.0e-8]
# L; V; hΔ-1; hΔ+1; hΔ-2; hΔ+2; uΔ-1; uΔ-2 [calculated 2025-06-01T20:39:25.352]
34; -2.0; 2.0740071720801687; -1.925992671028645; 4.000001436834587; -3.9999896525884537; 2.000053041274029; 4.016794662336238
34; -1.793103448275862; 1.881928841010133; -1.704278054662538; 3.6142666118585005; -3.558147182452011; 1.5862599378257656; 3.197272574302076
34; -1.5862068965517242; 1.6860686977519563; -1.4863450988025733; 3.231773641018002; -3.1130539197224323; 1.1724668343774596; 2.373284818247008
34; -1.3793103448275863; 1.4897388226830302; -1.2688818636187023; 2.851632739036628; -2.6656086395938097; 0.7586737309292602; 1.5476135569374279
34; -1.1724137931034482; 1.2933562667164225; -1.0514713192703908; 2.47358092426747; -2.2160742481314593; 0.34488062748091863; 0.7211992379438001
34; -0.9655172413793104; 1.0970806947351406; -0.8339537950259555; 2.097510674546129; -1.7645582910026576; -0.06891247596737315; -0.10560045730395728
34; -0.7586206896551724; 0.9009978602143498; -0.6162435729856099; 1.7233912537604645; -1.3110915054719143; -0.4827055794156081; -0.9326236520330689
34; -0.5517241379310345; 0.705166522749753; -0.3982817559148053; 1.3512425240559232; -0.8556540276682583; -0.8964986828639034; -1.759787581748462
34; -0.3448275862068966; 0.5096345962593425; -0.1800205520397462; 0.9811256191805526; -0.39818472890118883; -1.3102917863121597; -2.5870455105915973
34; -0.13793103448275862; 0.3144475490467613; 0.038585534891446116; 0.6131418554993147; 0.06141770919951739; -1.7240848897604426; -3.4143694087864347
34; 0.06896551724137931; 0.11965422734455444; 0.25758491938687555; 0.24743495123671977; 0.5232970192290729; -2.1378779932087184; -4.2417412303269675
34; 0.27586206896551724; -0.07469261285684325; 0.4770315298977579; -0.11580315605204206; 0.9876451195217868; -2.5516710966569907; -5.069149006970173
34; 0.4827586206896552; -0.2685202543294132; 0.6969965637503748; -0.4763203300301484; 1.4547141539647193; -2.96546420010527; -5.896584378809774
34; 0.6896551724137931; -0.4617422643751503; 0.9175680611726449; -0.8337932101824777; 1.924827479472647; -3.379257303553562; -6.724041444500525
